EQUIPAMENTO,IP/IN,FP,POT(W),FD,Hora/d,3F?,NT?,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,CAT
FORNO ELETRICO NORMAL,1.0,1.0,2000,0.8,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.03,0.02,0.07,0.1,0.1,0.06,0.03,0.03,0.03,0.08,0.1,0.1,0.07,0.05,0.03,0.0,FORNO
FREEZER HORIZONTAL GRANDE,6.0,0.85,500,0.9,12.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.08,0.04,0.04,0.08,0.08,0.08,0.04,0.03,0.03,0.08,0.09,0.08,0.05,0.03,0.02,0.01,ELDO_G
FREEZER HORIZONTAL MÉDIO,6.0,0.85,400,0.9,12.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.08,0.04,0.04,0.08,0.08,0.08,0.04,0.03,0.03,0.08,0.09,0.08,0.05,0.03,0.02,0.01,ELDO_G
FREEZER RESIDENCIAL,6.0,0.85,150,0.9,12.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.08,0.04,0.04,0.08,0.08,0.08,0.04,0.03,0.03,0.08,0.09,0.08,0.05,0.03,0.02,0.01,ELDO_G
FREEZER VERTICAL PEQUENO,6.0,0.85,300,0.9,12.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.08,0.04,0.04,0.08,0.08,0.08,0.04,0.03,0.03,0.08,0.09,0.08,0.05,0.03,0.02,0.01,ELDO_G
FRIGIDEIRA ELETRICA,6.0,0.85,1500,0.8,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.03,0.02,0.07,0.1,0.1,0.06,0.03,0.03,0.03,0.08,0.1,0.1,0.07,0.05,0.03,0.0,FORNO
GELADEIRA COMUM,6.0,0.85,250,0.9,24.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.08,0.04,0.04,0.08,0.08,0.08,0.04,0.03,0.03,0.08,0.09,0.08,0.05,0.03,0.02,0.01,ELDO_G
GELADEIRA DUPLEX,6.0,0.85,300,0.9,24.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.08,0.04,0.04,0.08,0.08,0.08,0.04,0.03,0.03,0.08,0.09,0.08,0.05,0.03,0.02,0.01,ELDO_G
HOME THEATER,3.0,0.95,500,0.8,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.1,0.1,0.09,0.07,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.07,0.1,0.09,0.07,0.0,ELDO_P
ILUMINACAO FLUORESCENTE  100W,3.0,0.65,100,0.8,6.0,0,1,0.03,0.03,0.01,0.01,0.01,0.01,0.06,0.09,0.05,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.13,0.13,0.1,0.1,0.08,0.03,LUZ
ILUMINACAO FLUORESCENTE  150W,3.0,0.65,150,0.8,6.0,0,1,0.03,0.03,0.01,0.01,0.01,0.01,0.06,0.09,0.05,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.13,0.13,0.1,0.1,0.08,0.03,LUZ
ILUMINACAO FLUORESCENTE  15W,3.0,0.65,15,0.8,6.0,0,1,0.03,0.03,0.01,0.01,0.01,0.01,0.06,0.09,0.05,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.13,0.13,0.1,0.1,0.08,0.03,LUZ
ILUMINACAO FLUORESCENTE  40W,3.0,0.65,40,0.8,6.0,0,1,0.03,0.03,0.01,0.01,0.01,0.01,0.06,0.09,0.05,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.13,0.13,0.1,0.1,0.08,0.03,LUZ
ILUMINACAO FLUORESCENTE 20W,3.0,0.65,20,0.8,6.0,0,1,0.03,0.03,0.01,0.01,0.01,0.01,0.06,0.09,0.05,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.13,0.13,0.1,0.1,0.08,0.03,LUZ
ILUMINACAO INCANDESCENTE 200W,1.0,1.0,200,0.8,6.0,0,1,0.03,0.03,0.01,0.01,0.01,0.01,0.06,0.09,0.05,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.13,0.13,0.1,0.1,0.08,0.03,LUZ
ILUMINACAO INCANDESCENTE 20W,1.0,1.0,20,0.8,6.0,0,1,0.03,0.03,0.01,0.01,0.01,0.01,0.06,0.09,0.05,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.13,0.13,0.1,0.1,0.08,0.03,LUZ
ILUMINACAO INCANDESCENTE 250W,1.0,1.0,250,0.8,6.0,0,1,0.03,0.03,0.01,0.01,0.01,0.01,0.06,0.09,0.05,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.13,0.13,0.1,0.1,0.08,0.03,LUZ
ILUMINACAO INCANDESCENTE 25W,1.0,1.0,25,0.8,6.0,0,1,0.03,0.03,0.01,0.01,0.01,0.01,0.06,0.09,0.05,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.13,0.13,0.1,0.1,0.08,0.03,LUZ
ILUMINACAO INCANDESCENTE 40W,1.0,1.0,40,0.8,6.0,0,1,0.03,0.03,0.01,0.01,0.01,0.01,0.06,0.09,0.05,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.13,0.13,0.1,0.1,0.08,0.03,LUZ
ILUMINACAO INCANDESCENTE 60W,1.0,1.0,60,0.8,6.0,0,1,0.03,0.03,0.01,0.01,0.01,0.01,0.06,0.09,0.05,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.13,0.13,0.1,0.1,0.08,0.03,LUZ
ILUMINACAO LED 12W,1.2,0.95,12,0.8,5.0,0,1,0.03,0.03,0.01,0.01,0.01,0.01,0.06,0.09,0.05,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.13,0.13,0.1,0.1,0.08,0.03,LUZ
